iter	Passed	Remaining
154	260	1420
155	261	1412
156	261	1404
157	262	1396
158	262	1388
159	262	1380
160	263	1371
161	263	1364
162	264	1356
163	264	1348
164	265	1341
165	265	1335
166	266	1328
167	266	1320
168	267	1313
169	267	1306
170	268	1299
171	268	1292
172	269	1285
173	269	1279
174	269	1272
175	270	1265
176	270	1259
177	271	1252
178	271	1246
179	272	1240
180	272	1233
181	273	1227
182	273	1221
183	274	1215
184	274	1209
185	274	1203
186	275	1197
187	276	1192
188	276	1186
189	277	1181
190	277	1175
191	277	1169
192	278	1164
193	278	1158
194	279	1153
195	279	1148
196	280	1142
197	280	1137
198	281	1132
199	282	1128
200	282	1123
201	282	1117
202	283	1112
203	283	1107
204	284	1102
205	284	1097
206	285	1092
207	285	1087
208	286	1082
209	286	1078
210	287	1073
211	287	1069
212	288	1064
213	288	1059
214	289	1055
215	289	1050
216	289	1046
217	290	1041
218	290	1037
219	291	1032
220	291	1028
221	292	1025
222	293	1021
223	293	1016
224	294	1012
225	294	1008
226	294	1004
227	295	1000
228	295	996
229	296	992
230	296	988
231	297	984
232	298	981
233	298	977
234	299	973
235	299	969
236	299	965
237	300	961
238	300	957
239	301	954
240	301	950
241	302	946
242	302	943
243	303	940
244	303	936
245	304	933
246	304	929
247	305	925
248	305	922
249	306	918
250	306	915
251	307	911
252	307	907
253	308	904
254	308	901
255	309	898
256	309	894
257	309	891
258	310	888
259	310	884
260	311	881
261	311	878
262	312	874
263	312	871
264	313	868
265	313	865
266	314	862
267	314	859
268	315	856
269	315	853
270	315	849
271	316	846
272	316	844
273	317	841
274	318	838
275	318	835
276	319	832
277	319	829
278	320	827
279	320	824
280	321	821
281	321	818
282	321	815
283	322	812
284	322	809
285	323	807
286	323	804
287	324	801
288	324	799
289	325	796
290	325	793
291	326	790
292	326	788
293	327	785
294	327	782
295	328	780
296	328	777
297	328	774
298	329	772
299	329	769
300	330	767
301	330	764
302	331	762
303	331	759
304	332	757
305	332	754
306	333	752
307	333	749
308	334	747
309	334	744
310	335	742
311	335	740
312	336	738
313	336	735
314	337	733
315	337	731
316	338	728
317	338	726
318	339	723
319	339	721
320	339	719
321	340	716
322	341	714
323	341	713
324	342	710
325	342	708
326	343	706
327	343	704
328	344	701
329	344	699
330	344	697
331	345	695
332	345	692
333	346	690
334	347	689
335	347	686
336	348	684
337	348	682
338	348	680
339	349	678
340	349	676
341	350	673
342	350	671
343	351	669
344	351	667
345	352	666
346	353	664
347	353	662
348	353	660
349	354	657
350	354	655
351	355	653
352	355	651
353	356	649
354	356	647
355	357	645
356	357	644
357	358	642
358	358	640
359	359	638
360	359	636
361	359	634
362	360	632
363	360	630
364	361	628
365	361	626
366	362	624
367	363	623
368	363	621
369	364	620
370	364	618
371	365	616
372	365	614
373	366	612
374	366	610
375	367	609
376	367	607
377	368	605
378	368	604
379	369	602
380	369	601
381	370	599
382	370	597
383	371	595
384	371	594
385	372	592
386	372	590
387	373	588
388	373	587
389	374	585
390	374	584
391	375	582
392	375	580
393	376	578
394	376	577
395	377	575
396	377	573
397	378	572
398	378	570
399	379	568
400	379	567
401	380	565
402	380	563
403	381	562
404	381	560
405	382	558
406	382	557
407	382	555
408	383	554
409	383	552
410	384	550
411	385	549
412	385	548
413	386	546
414	386	544
415	386	543
416	387	541
417	387	539
418	388	538
419	388	536
420	389	535
421	389	533
422	390	532
423	391	531
424	391	529
425	391	528
426	392	526
427	392	525
428	393	523
429	393	522
430	394	520
431	394	519
432	395	517
433	395	516
434	396	514
435	396	513
436	397	511
437	397	510
438	398	509
439	398	507
440	399	506
441	399	504
442	400	503
443	400	501
444	401	500
445	401	499
446	402	497
447	402	496
448	403	494
449	403	493
450	404	491
451	404	490
452	404	489
453	405	487
454	406	486
455	406	485
456	407	483
457	407	482
458	408	480
459	408	479
460	408	478
461	409	476
462	410	475
463	410	474
464	410	472
465	411	471
466	413	471
467	413	470
468	414	469
469	415	468
470	415	467
471	416	465
472	416	464
473	417	463
474	418	462
475	418	460
476	418	459
477	419	457
478	419	456
479	420	455
480	420	453
481	421	452
482	421	451
483	422	450
484	422	448
485	423	447
486	423	446
487	424	445
488	424	444
489	425	442
490	425	441
491	426	440
492	427	439
493	428	438
494	428	437
495	429	436
496	430	435
497	430	434
498	432	434
499	432	432
500	433	431
501	434	430
502	435	430
503	435	428
504	436	427
505	436	426
506	437	425
507	437	423
508	438	422
509	438	421
510	438	420
511	439	419
512	440	417
513	440	416
514	441	415
515	441	414
516	441	412
517	442	411
518	443	410
519	443	409
520	443	408
521	444	406
522	445	405
523	445	404
524	445	403
525	446	402
526	446	401
527	447	399
528	447	398
529	448	397
530	448	396
531	449	395
532	449	393
533	450	392
534	450	391
535	451	390
536	451	389
537	452	388
538	452	387
539	453	385
540	453	384
541	453	383
542	454	382
543	454	381
544	455	380
545	456	379
546	456	378
547	456	376
548	457	375
549	457	374
550	458	373
551	458	372
552	459	371
553	459	370
554	460	368
555	460	367
556	461	366
557	461	365
558	462	364
559	462	363
560	463	362
561	463	361
562	464	360
563	464	359
564	465	358
565	465	356
566	465	355
567	466	354
568	467	353
569	467	352
570	467	351
571	468	350
572	468	349
573	469	348
574	469	347
575	470	346
576	470	345
577	471	343
578	471	342
579	472	341
580	472	340
581	473	339
582	473	338
583	474	337
584	474	336
585	474	335
586	475	334
587	475	333
588	476	332
589	476	331
590	477	330
591	478	329
592	478	328
593	479	327
594	479	326
595	480	325
596	480	324
597	480	323
598	481	322
599	481	321
600	482	320
601	482	319
602	483	318
603	483	317
604	484	316
605	484	315
606	485	314
607	485	313
608	486	312
609	486	311
610	487	310
611	487	309
612	488	308
613	489	307
614	489	306
615	489	305
616	490	304
617	490	303
618	491	302
619	491	301
620	492	300
621	492	299
622	493	298
623	494	297
624	494	296
625	495	295
626	495	294
627	496	293
628	496	293
629	497	292
630	497	291
631	498	290
632	499	289
633	500	288
634	500	287
635	501	286
636	501	286
637	502	285
638	502	284
639	503	283
640	503	282
641	504	281
642	504	280
643	505	279
644	506	278
645	506	277
646	507	276
647	507	275
648	508	274
649	508	273
650	508	272
651	509	271
652	510	271
653	510	270
654	511	269
655	511	268
656	512	267
657	512	266
658	513	265
659	513	264
660	513	263
661	514	262
662	514	261
663	515	260
664	516	259
665	516	259
666	517	258
667	517	257
668	517	256
669	518	255
670	518	254
671	519	253
672	520	252
673	522	252
674	522	251
675	523	250
676	524	250
677	524	249
678	525	248
679	525	247
680	526	246
681	526	245
682	527	244
683	527	243
684	528	243
685	529	242
686	529	241
687	530	240
688	530	239
689	531	238
690	531	237
691	532	236
692	532	236
693	533	235
694	534	234
695	534	233
696	535	232
697	535	231
698	536	230
699	536	230
700	537	229
701	537	228
702	538	227
703	538	226
704	539	225
705	539	224
706	540	223
707	540	223
708	541	222
709	541	221
710	542	220
711	542	219
712	543	218
713	543	217
714	544	216
715	544	216
716	545	215
717	545	214
718	546	213
719	546	212
720	547	211
721	547	210
722	548	210
723	548	209
724	549	208
725	549	207
726	549	206
727	550	205
728	550	204
729	551	203
730	551	203
731	552	202
732	553	201
733	553	200
734	554	199
735	554	198
736	555	198
737	555	197
738	556	196
739	556	195
740	556	194
741	557	193
742	557	192
743	558	192
744	558	191
745	559	190
746	560	189
747	560	188
748	561	188
749	561	187
750	561	186
751	562	185
752	562	184
753	563	183
754	563	182
755	564	182
756	564	181
757	565	180
758	565	179
759	566	178
760	566	177
761	567	177
762	567	176
763	568	175
764	568	174
765	568	173
766	569	172
767	570	172
768	570	171
769	571	170
770	571	169
771	571	168
772	572	168
773	572	167
774	573	166
775	573	165
776	574	164
777	574	164
778	575	163
779	576	162
780	576	161
781	577	160
782	577	160
783	577	159
784	578	158
785	579	157
786	579	156
787	579	156
788	580	155
789	581	154
790	581	153
791	582	152
792	582	152
793	582	151
794	583	150
795	583	149
796	584	148
797	584	148
798	585	147
799	585	146
800	586	145
801	586	144
802	587	144
803	587	143
804	588	142
805	588	141
806	589	140
807	589	140
808	589	139
809	590	138
810	590	137
811	591	136
812	591	136
813	592	135
814	592	134
815	593	133
816	593	132
817	594	132
818	594	131
819	595	130
820	595	129
821	595	129
822	596	128
823	597	127
824	597	126
825	598	125
826	598	125
827	599	124
828	599	123
829	600	122
830	600	122
831	601	121
832	601	120
833	601	119
834	602	119
835	603	118
836	603	117
837	604	116
838	604	116
839	605	115
840	605	114
841	605	113
842	606	112
843	606	112
844	607	111
845	608	110
846	608	109
847	609	109
848	609	108
849	610	107
850	610	106
851	611	106
852	611	105
853	612	104
854	612	103
855	613	103
856	613	102
857	614	101
858	614	100
859	615	100
860	615	99
861	615	98
862	616	97
863	616	97
864	617	96
865	617	95
866	618	94
867	618	94
868	619	93
869	620	92
870	620	91
871	620	91
872	621	90
873	622	89
874	622	88
875	623	88
876	623	87
877	624	86
878	624	86
879	625	85
880	625	84
881	626	83
882	626	83
883	627	82
884	627	81
885	628	80
886	628	80
887	629	79
888	629	78
889	630	77
890	630	77
891	631	76
892	631	75
893	631	74
894	632	74
895	632	73
896	633	72
897	633	71
898	634	71
899	634	70
900	635	69
901	635	69
902	636	68
903	636	67
904	637	66
905	637	66
906	638	65
907	638	64
908	639	63
909	639	63
910	640	62
911	640	61
912	641	61
913	641	60
914	641	59
915	642	58
916	642	58
917	643	57
918	643	56
919	644	56
920	644	55
921	645	54
922	645	53
923	646	53
924	646	52
925	647	51
926	647	50
927	648	50
928	648	49
929	648	48
930	649	48
931	649	47
932	650	46
933	650	45
934	651	45
935	651	44
936	652	43
937	652	43
938	653	42
939	653	41
940	654	41
941	654	40
942	655	39
943	655	38
944	656	38
945	656	37
946	657	36
947	657	36
948	658	35
949	658	34
950	659	33
951	659	33
952	660	32
953	660	31
954	661	31
955	661	30
956	662	29
957	663	29
958	663	28
959	663	27
960	664	26
961	665	26
962	665	25
963	666	24
964	667	24
965	667	23
966	668	22
967	668	22
968	670	21
969	670	20
970	671	20
971	671	19
972	672	18
973	672	17
974	673	17
975	673	16
976	674	15
977	674	15
978	675	14
979	676	13
980	676	13
981	676	12
982	677	11
983	677	11
984	678	10
985	678	9
986	679	8
987	681	8
988	681	7
989	682	6
990	683	6
991	683	5
992	684	4
993	684	4
994	685	3
995	685	2
996	686	2
997	686	1
998	687	0
999	687	0
